game_pk,date,start_time,away_team,home_team,matchup,away_probable_pitcher,home_probable_pitcher,venue,status
824515,2026-05-29,6:40 PM,Atlanta Braves,Cincinnati Reds,Atlanta Braves @ Cincinnati Reds,Grant Holmes,Chris Paddack,Great American Ball Park,Scheduled
822732,2026-05-29,6:45 PM,San Diego Padres,Washington Nationals,San Diego Padres @ Washington Nationals,Lucas Giolito,Paxton Schultz,Nationals Park,Scheduled
823377,2026-05-29,6:45 PM,Minnesota Twins,Pittsburgh Pirates,Minnesota Twins @ Pittsburgh Pirates,Taj Bradley,Jared Jones,PNC Park,Scheduled
824835,2026-05-29,7:05 PM,Toronto Blue Jays,Baltimore Orioles,Toronto Blue Jays @ Baltimore Orioles,,Trevor Rogers,Oriole Park at Camden Yards,Scheduled
824433,2026-05-29,7:10 PM,Boston Red Sox,Cleveland Guardians,Boston Red Sox @ Cleveland Guardians,Tyler Samaniego,Slade Cecconi,Progressive Field,Scheduled
822978,2026-05-29,7:10 PM,Los Angeles Angels,Tampa Bay Rays,Los Angeles Angels @ Tampa Bay Rays,Walbert Ureña,Nick Martinez,Tropicana Field,Scheduled
823623,2026-05-29,7:10 PM,Miami Marlins,New York Mets,Miami Marlins @ New York Mets,Max Meyer,Freddy Peralta,Citi Field,Scheduled
823055,2026-05-29,7:15 PM,Chicago Cubs,St. Louis Cardinals,Chicago Cubs @ St. Louis Cardinals,Shota Imanaga,Andre Pallante,Busch Stadium,Scheduled
824594,2026-05-29,7:40 PM,Detroit Tigers,Chicago White Sox,Detroit Tigers @ Chicago White Sox,Troy Melton,Erick Fedde,Rate Field,Scheduled
822894,2026-05-29,8:05 PM,Kansas City Royals,Texas Rangers,Kansas City Royals @ Texas Rangers,Stephen Kolek,MacKenzie Gore,Globe Life Field,Scheduled
824191,2026-05-29,8:10 PM,Milwaukee Brewers,Houston Astros,Milwaukee Brewers @ Houston Astros,Coleman Crow,Kai-Wei Teng,Daikin Park,Scheduled
824353,2026-05-29,8:40 PM,San Francisco Giants,Colorado Rockies,San Francisco Giants @ Colorado Rockies,Logan Webb,Michael Lorenzen,Coors Field,Scheduled
825002,2026-05-29,9:40 PM,New York Yankees,Athletics,New York Yankees @ Athletics,Carlos Rodón,Luis Severino,Sutter Health Park,Scheduled
823135,2026-05-29,10:10 PM,Arizona Diamondbacks,Seattle Mariners,Arizona Diamondbacks @ Seattle Mariners,Zac Gallen,George Kirby,T-Mobile Park,Scheduled
823946,2026-05-29,10:15 PM,Philadelphia Phillies,Los Angeles Dodgers,Philadelphia Phillies @ Los Angeles Dodgers,Zack Wheeler,Justin Wrobleski,UNIQLO Field at Dodger Stadium,Scheduled
