Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Austin Riley,3.71,63.2%,-172,21.0%,+377,663586,Payton Tolle,801139,Atlanta Braves
Chadwick Tromp,2.29,13.4%,+649,0.5%,+18419,644433,Payton Tolle,801139,Atlanta Braves
Dominic Smith,2.58,24.6%,+307,2.1%,+4778,642086,Payton Tolle,801139,Atlanta Braves
Eli White,2.19,30.4%,+229,3.0%,+3256,642201,Payton Tolle,801139,Atlanta Braves
Ha-Seong Kim,3.5,26.9%,+271,2.9%,+3301,673490,Payton Tolle,801139,Atlanta Braves
Jorge Mateo,1.94,35.4%,+182,3.8%,+2567,622761,Payton Tolle,801139,Atlanta Braves
Matt Olson,3.86,60.2%,-151,18.6%,+436,621566,Payton Tolle,801139,Atlanta Braves
Mauricio Dubón,3.72,59.7%,-148,18.1%,+452,643289,Payton Tolle,801139,Atlanta Braves
Michael Harris II,3.55,67.2%,-205,24.2%,+313,671739,Payton Tolle,801139,Atlanta Braves
Mike Yastrzemski,2.82,41.2%,+143,6.8%,+1368,573262,Payton Tolle,801139,Atlanta Braves
Ozzie Albies,3.86,60.8%,-155,19.1%,+425,645277,Payton Tolle,801139,Atlanta Braves
Ronald Acuña Jr.,3.74,55.6%,-125,15.2%,+556,660670,Payton Tolle,801139,Atlanta Braves
Sandy León,2.22,23.4%,+327,1.7%,+5782,506702,Payton Tolle,801139,Atlanta Braves
