Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Adley Rutschman,3.74,73.5%,-277,31.1%,+221,668939,Patrick Corbin,571578,Baltimore Orioles
Blaze Alexander,2.51,50.7%,-103,10.4%,+860,677942,Patrick Corbin,571578,Baltimore Orioles
Coby Mayo,3.02,68.0%,-213,23.5%,+326,691723,Patrick Corbin,571578,Baltimore Orioles
Colton Cowser,2.17,22.8%,+339,1.6%,+6229,681297,Patrick Corbin,571578,Baltimore Orioles
Gunnar Henderson,4.25,61.5%,-159,20.2%,+395,683002,Patrick Corbin,571578,Baltimore Orioles
Jackson Holliday,2.38,N/A,N/A,N/A,N/A,702616,Patrick Corbin,571578,Baltimore Orioles
Jeremiah Jackson,3.3,61.7%,-161,19.1%,+424,669236,Patrick Corbin,571578,Baltimore Orioles
Leody Taveras,2.89,64.3%,-180,20.1%,+398,665750,Patrick Corbin,571578,Baltimore Orioles
Pete Alonso,3.79,63.5%,-174,21.4%,+368,624413,Patrick Corbin,571578,Baltimore Orioles
Samuel Basallo,3.41,59.1%,-144,17.2%,+480,694212,Patrick Corbin,571578,Baltimore Orioles
Taylor Ward,3.64,63.9%,-177,21.4%,+367,621493,Patrick Corbin,571578,Baltimore Orioles
Tyler O'Neill,2.74,27.5%,+263,2.8%,+3523,641933,Patrick Corbin,571578,Baltimore Orioles
Weston Wilson,1.9,34.3%,+192,3.4%,+2833,642215,Patrick Corbin,571578,Baltimore Orioles
