Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Andruw Monasterio,2.93,48.1%,+108,10.0%,+905,655316,Chris Sale,519242,Boston Red Sox
Caleb Durbin,3.06,55.7%,-126,14.3%,+600,702332,Chris Sale,519242,Boston Red Sox
Carlos Narváez,2.89,33.9%,+195,4.4%,+2157,665966,Chris Sale,519242,Boston Red Sox
Ceddanne Rafaela,3.44,47.3%,+112,9.8%,+919,678882,Chris Sale,519242,Boston Red Sox
Connor Wong,2.64,13.1%,+663,0.5%,+18419,657136,Chris Sale,519242,Boston Red Sox
Isiah Kiner-Falefa,2.0,52.7%,-112,9.8%,+924,643396,Chris Sale,519242,Boston Red Sox
Jarren Duran,4.02,64.0%,-178,22.1%,+352,680776,Chris Sale,519242,Boston Red Sox
Marcelo Mayer,2.98,67.1%,-204,22.6%,+343,691785,Chris Sale,519242,Boston Red Sox
Masataka Yoshida,2.68,35.8%,+179,4.8%,+1970,807799,Chris Sale,519242,Boston Red Sox
Mickey Gasper,2.87,44.6%,+124,8.1%,+1133,681508,Chris Sale,519242,Boston Red Sox
Nick Sogard,3.33,57.8%,-137,16.1%,+523,686765,Chris Sale,519242,Boston Red Sox
Willson Contreras,3.6,71.4%,-249,28.5%,+250,575929,Chris Sale,519242,Boston Red Sox
Wilyer Abreu,3.91,68.1%,-213,25.7%,+290,677800,Chris Sale,519242,Boston Red Sox
