Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Alex Bregman,4.04,64.8%,-184,22.8%,+340,608324,Paul Skenes,694973,Chicago Cubs
Carson Kelly,3.19,48.8%,+105,10.4%,+861,608348,Paul Skenes,694973,Chicago Cubs
Dansby Swanson,3.38,51.8%,-108,12.6%,+696,621020,Paul Skenes,694973,Chicago Cubs
Ian Happ,3.75,47.9%,+109,10.7%,+838,664023,Paul Skenes,694973,Chicago Cubs
Kevin Alcántara,0.5,N/A,N/A,N/A,N/A,682634,Paul Skenes,694973,Chicago Cubs
Michael Busch,3.6,48.5%,+106,10.8%,+823,683737,Paul Skenes,694973,Chicago Cubs
Michael Conforto,2.12,40.8%,+145,5.6%,+1686,624424,Paul Skenes,694973,Chicago Cubs
Miguel Amaya,2.41,9.7%,+932,0.3%,+34383,665804,Paul Skenes,694973,Chicago Cubs
Moisés Ballesteros,2.67,42.4%,+136,7.1%,+1312,694208,Paul Skenes,694973,Chicago Cubs
Nico Hoerner,3.98,75.3%,-305,33.8%,+196,663538,Paul Skenes,694973,Chicago Cubs
Pedro Ramírez,1.75,31.0%,+223,2.5%,+3932,699393,Paul Skenes,694973,Chicago Cubs
Pete Crow-Armstrong,3.59,53.5%,-115,13.8%,+625,691718,Paul Skenes,694973,Chicago Cubs
Seiya Suzuki,3.67,59.1%,-144,17.7%,+466,673548,Paul Skenes,694973,Chicago Cubs
