Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Andrew Benintendi,3.22,43.8%,+128,8.2%,+1112,643217,Kendry Rojas,696070,Chicago White Sox
Chase Meidroth,3.74,67.2%,-205,24.6%,+307,805367,Kendry Rojas,696070,Chicago White Sox
Colson Montgomery,3.69,60.4%,-153,18.7%,+434,695657,Kendry Rojas,696070,Chicago White Sox
Derek Hill,1.49,28.4%,+252,1.6%,+6189,656537,Kendry Rojas,696070,Chicago White Sox
Drew Romo,3.06,49.3%,+103,10.7%,+833,691011,Kendry Rojas,696070,Chicago White Sox
Edgar Quero,2.69,35.6%,+181,4.8%,+1975,700337,Kendry Rojas,696070,Chicago White Sox
Luisangel Acuña,2.45,33.9%,+195,4.1%,+2357,682668,Kendry Rojas,696070,Chicago White Sox
Miguel Vargas,3.56,63.6%,-175,21.1%,+375,678246,Kendry Rojas,696070,Chicago White Sox
Munetaka Murakami,3.56,53.8%,-117,13.9%,+619,808959,Kendry Rojas,696070,Chicago White Sox
Randal Grichuk,1.91,47.9%,+109,7.4%,+1248,545341,Kendry Rojas,696070,Chicago White Sox
Rikuu Nishida,2.33,N/A,N/A,N/A,N/A,807747,Kendry Rojas,696070,Chicago White Sox
Sam Antonacci,3.21,47.9%,+109,10.0%,+899,803011,Kendry Rojas,696070,Chicago White Sox
Tristan Peters,2.52,28.7%,+248,2.9%,+3372,671976,Kendry Rojas,696070,Chicago White Sox
