Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Braden Shewmake,2.64,64.1%,-179,19.2%,+421,669699,Nathan Eovaldi,543135,Houston Astros
Brice Matthews,2.94,34.5%,+189,4.7%,+2046,694728,Nathan Eovaldi,543135,Houston Astros
Cam Smith,3.25,43.5%,+130,8.2%,+1118,701358,Nathan Eovaldi,543135,Houston Astros
César Salazar,2.29,15.9%,+528,0.8%,+12887,663967,Nathan Eovaldi,543135,Houston Astros
Christian Vázquez,3.0,38.2%,+162,5.8%,+1618,543877,Nathan Eovaldi,543135,Houston Astros
Christian Walker,3.65,59.1%,-144,17.6%,+469,572233,Nathan Eovaldi,543135,Houston Astros
Isaac Paredes,3.61,59.6%,-148,18.0%,+456,670623,Nathan Eovaldi,543135,Houston Astros
Jake Meyers,3.05,34.6%,+189,4.8%,+1996,676694,Nathan Eovaldi,543135,Houston Astros
Jeremy Peña,4.11,61.7%,-161,20.2%,+395,665161,Nathan Eovaldi,543135,Houston Astros
Nick Allen,1.54,24.7%,+305,1.2%,+7965,669397,Nathan Eovaldi,543135,Houston Astros
Taylor Trammell,2.92,36.8%,+172,5.0%,+1920,666211,Nathan Eovaldi,543135,Houston Astros
Yordan Alvarez,3.61,75.3%,-305,33.1%,+202,670541,Nathan Eovaldi,543135,Houston Astros
Zach Dezenzo,2.41,37.0%,+171,4.9%,+1941,701305,Nathan Eovaldi,543135,Houston Astros
