Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Alex Jackson,3.33,22.2%,+351,1.8%,+5614,656577,Davis Martin,663436,Minnesota Twins
Austin Martin,2.96,58.2%,-139,15.8%,+535,668885,Davis Martin,663436,Minnesota Twins
Brooks Lee,3.62,66.5%,-198,23.7%,+322,686797,Davis Martin,663436,Minnesota Twins
Byron Buxton,4.19,64.0%,-178,22.2%,+350,621439,Davis Martin,663436,Minnesota Twins
James Outman,1.42,20.9%,+377,0.7%,+13414,681546,Davis Martin,663436,Minnesota Twins
Josh Bell,3.64,53.7%,-116,14.0%,+617,605137,Davis Martin,663436,Minnesota Twins
Kody Clemens,3.32,45.8%,+118,9.3%,+980,665019,Davis Martin,663436,Minnesota Twins
Luke Keaschall,3.6,58.3%,-140,17.0%,+488,807712,Davis Martin,663436,Minnesota Twins
Orlando Arcia,2.67,33.5%,+199,3.8%,+2546,606115,Davis Martin,663436,Minnesota Twins
Ryan Kreidler,2.69,48.9%,+105,9.9%,+909,668952,Davis Martin,663436,Minnesota Twins
Trevor Larnach,2.98,52.3%,-109,12.2%,+722,663616,Davis Martin,663436,Minnesota Twins
Tristan Gray,2.79,52.2%,-109,11.8%,+745,656484,Davis Martin,663436,Minnesota Twins
Victor Caratini,3.08,50.5%,-102,11.4%,+777,605170,Davis Martin,663436,Minnesota Twins
