Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Brandon Lowe,3.86,81.1%,-430,41.3%,+142,664040,Colin Rea,607067,Pittsburgh Pirates
Bryan Reynolds,3.55,77.2%,-338,35.1%,+185,668804,Colin Rea,607067,Pittsburgh Pirates
Endy Rodríguez,2.38,35.1%,+184,4.3%,+2199,682848,Colin Rea,607067,Pittsburgh Pirates
Esmerlyn Valdez,3.2,19.5%,+413,1.4%,+6992,699013,Colin Rea,607067,Pittsburgh Pirates
Henry Davis,2.77,36.2%,+176,5.1%,+1872,680779,Colin Rea,607067,Pittsburgh Pirates
Jake Mangum,2.49,60.2%,-151,15.8%,+533,663968,Colin Rea,607067,Pittsburgh Pirates
Jared Triolo,2.71,48.4%,+107,9.7%,+928,669707,Colin Rea,607067,Pittsburgh Pirates
Jhostynxon Garcia,3.0,60.3%,-152,17.3%,+477,691373,Colin Rea,607067,Pittsburgh Pirates
Konnor Griffin,3.67,60.2%,-151,18.4%,+443,804606,Colin Rea,607067,Pittsburgh Pirates
Marcell Ozuna,3.74,55.3%,-124,15.2%,+560,542303,Colin Rea,607067,Pittsburgh Pirates
Nick Gonzales,3.7,79.8%,-394,39.2%,+155,693304,Colin Rea,607067,Pittsburgh Pirates
Oneil Cruz,4.13,71.0%,-245,29.1%,+243,665833,Colin Rea,607067,Pittsburgh Pirates
Spencer Horwitz,3.06,59.0%,-144,16.6%,+504,687462,Colin Rea,607067,Pittsburgh Pirates
