Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Alejandro Osuna,2.37,60.0%,-150,15.3%,+555,696030,Spencer Arrighetti,681293,Texas Rangers
Brandon Nimmo,3.89,83.6%,-509,45.1%,+122,607043,Spencer Arrighetti,681293,Texas Rangers
Danny Jansen,3.08,30.0%,+233,3.5%,+2765,643376,Spencer Arrighetti,681293,Texas Rangers
Evan Carter,2.96,50.9%,-104,11.4%,+776,694497,Spencer Arrighetti,681293,Texas Rangers
Ezequiel Duran,3.13,71.1%,-247,27.1%,+270,677649,Spencer Arrighetti,681293,Texas Rangers
Jake Burger,3.77,74.6%,-294,32.4%,+209,669394,Spencer Arrighetti,681293,Texas Rangers
Joc Pederson,2.51,46.1%,+117,8.3%,+1100,592626,Spencer Arrighetti,681293,Texas Rangers
Josh Jung,3.78,76.2%,-321,34.7%,+188,673962,Spencer Arrighetti,681293,Texas Rangers
Justin Foscue,2.94,51.1%,-105,11.5%,+772,679822,Spencer Arrighetti,681293,Texas Rangers
Kyle Higashioka,3.07,50.4%,-101,11.3%,+784,543309,Spencer Arrighetti,681293,Texas Rangers
Michael Helman,2.33,12.1%,+724,0.4%,+22122,680737,Spencer Arrighetti,681293,Texas Rangers
Nicky Lopez,1.6,8.8%,+1036,0.1%,+66567,670032,Spencer Arrighetti,681293,Texas Rangers
Sam Haggerty,1.24,19.1%,+424,0.4%,+24900,664059,Spencer Arrighetti,681293,Texas Rangers
