Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Andrés Giménez,3.4,67.6%,-209,24.2%,+314,665926,Chris Bassitt,605135,Toronto Blue Jays
Brandon Valenzuela,2.63,68.1%,-213,22.4%,+347,678218,Chris Bassitt,605135,Toronto Blue Jays
Daulton Varsho,3.57,71.1%,-246,28.2%,+255,662139,Chris Bassitt,605135,Toronto Blue Jays
Ernie Clement,3.84,57.2%,-133,16.0%,+523,676391,Chris Bassitt,605135,Toronto Blue Jays
George Springer,3.84,58.2%,-139,17.3%,+479,543807,Chris Bassitt,605135,Toronto Blue Jays
Jesús Sánchez,2.96,83.4%,-502,41.8%,+139,660821,Chris Bassitt,605135,Toronto Blue Jays
Kazuma Okamoto,3.65,58.6%,-142,17.3%,+478,672960,Chris Bassitt,605135,Toronto Blue Jays
Lenyn Sosa,2.83,50.7%,-103,11.1%,+804,672820,Chris Bassitt,605135,Toronto Blue Jays
Myles Straw,1.77,48.2%,+108,6.9%,+1345,664702,Chris Bassitt,605135,Toronto Blue Jays
Nathan Lukes,2.73,73.3%,-274,27.9%,+259,664770,Chris Bassitt,605135,Toronto Blue Jays
Tyler Heineman,2.34,27.7%,+261,2.5%,+3822,623168,Chris Bassitt,605135,Toronto Blue Jays
Vladimir Guerrero Jr.,3.54,68.9%,-221,25.9%,+287,665489,Chris Bassitt,605135,Toronto Blue Jays
Yohendrick Piñango,3.04,76.8%,-331,33.1%,+202,682818,Chris Bassitt,605135,Toronto Blue Jays
