Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Austin Riley,3.65,55.0%,-122,14.8%,+575,663586,Mitch Keller,656605,Atlanta Braves
Austin Wynns,2.6,63.2%,-172,18.2%,+450,642851,Mitch Keller,656605,Atlanta Braves
Dominic Smith,2.6,79.7%,-393,34.9%,+186,642086,Mitch Keller,656605,Atlanta Braves
Eli White,2.06,51.1%,-104,9.3%,+979,642201,Mitch Keller,656605,Atlanta Braves
Ha-Seong Kim,3.5,24.7%,+305,2.4%,+3998,673490,Mitch Keller,656605,Atlanta Braves
Jorge Mateo,2.13,47.5%,+110,8.0%,+1148,622761,Mitch Keller,656605,Atlanta Braves
Matt Olson,3.89,87.2%,-682,51.2%,-105,621566,Mitch Keller,656605,Atlanta Braves
Mauricio Dubón,3.66,68.0%,-213,25.2%,+296,643289,Mitch Keller,656605,Atlanta Braves
Michael Harris II,3.6,82.1%,-460,42.3%,+136,671739,Mitch Keller,656605,Atlanta Braves
Mike Yastrzemski,2.72,64.0%,-178,19.3%,+418,573262,Mitch Keller,656605,Atlanta Braves
Ozzie Albies,3.87,66.1%,-195,23.7%,+322,645277,Mitch Keller,656605,Atlanta Braves
Ronald Acuña Jr.,3.69,66.7%,-200,24.0%,+316,660670,Mitch Keller,656605,Atlanta Braves
Sandy León,2.0,16.3%,+514,0.7%,+13789,506702,Mitch Keller,656605,Atlanta Braves
