Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Adley Rutschman,3.73,42.9%,+133,7.9%,+1169,668939,Trey Yesavage,702056,Baltimore Orioles
Blaze Alexander,2.5,69.6%,-229,23.2%,+331,677942,Trey Yesavage,702056,Baltimore Orioles
Coby Mayo,3.06,43.9%,+128,8.2%,+1118,691723,Trey Yesavage,702056,Baltimore Orioles
Colton Cowser,2.19,22.0%,+355,1.5%,+6703,681297,Trey Yesavage,702056,Baltimore Orioles
Gunnar Henderson,4.24,59.2%,-145,18.4%,+442,683002,Trey Yesavage,702056,Baltimore Orioles
Jackson Holliday,2.79,65.2%,-188,20.5%,+387,702616,Trey Yesavage,702056,Baltimore Orioles
Jeremiah Jackson,3.15,49.0%,+104,10.7%,+837,669236,Trey Yesavage,702056,Baltimore Orioles
Leody Taveras,2.96,38.4%,+160,5.9%,+1609,665750,Trey Yesavage,702056,Baltimore Orioles
Pete Alonso,3.81,61.4%,-159,19.7%,+409,624413,Trey Yesavage,702056,Baltimore Orioles
Samuel Basallo,3.33,69.4%,-227,25.9%,+287,694212,Trey Yesavage,702056,Baltimore Orioles
Taylor Ward,3.66,58.3%,-140,17.0%,+488,621493,Trey Yesavage,702056,Baltimore Orioles
Tyler O'Neill,2.63,24.8%,+303,2.2%,+4530,641933,Trey Yesavage,702056,Baltimore Orioles
Weston Wilson,1.86,13.7%,+632,0.5%,+21639,642215,Trey Yesavage,702056,Baltimore Orioles
