Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Andruw Monasterio,2.94,52.5%,-111,12.3%,+715,655316,Ryan Weathers,677960,Boston Red Sox
Anthony Seigler,2.0,N/A,N/A,N/A,N/A,678011,Ryan Weathers,677960,Boston Red Sox
Caleb Durbin,3.18,59.6%,-148,17.2%,+482,702332,Ryan Weathers,677960,Boston Red Sox
Carlos Narváez,2.95,40.5%,+147,6.7%,+1393,665966,Ryan Weathers,677960,Boston Red Sox
Ceddanne Rafaela,3.55,60.9%,-155,18.7%,+434,678882,Ryan Weathers,677960,Boston Red Sox
Connor Wong,2.76,33.4%,+199,4.2%,+2298,657136,Ryan Weathers,677960,Boston Red Sox
Isiah Kiner-Falefa,2.36,47.0%,+113,8.4%,+1095,643396,Ryan Weathers,677960,Boston Red Sox
Jarren Duran,4.07,70.7%,-241,28.5%,+250,680776,Ryan Weathers,677960,Boston Red Sox
Marcelo Mayer,2.95,38.1%,+162,5.8%,+1618,691785,Ryan Weathers,677960,Boston Red Sox
Masataka Yoshida,2.77,72.6%,-265,27.3%,+267,807799,Ryan Weathers,677960,Boston Red Sox
Mickey Gasper,3.05,43.5%,+130,7.7%,+1200,681508,Ryan Weathers,677960,Boston Red Sox
Willson Contreras,3.51,67.5%,-208,24.4%,+309,575929,Ryan Weathers,677960,Boston Red Sox
Wilyer Abreu,3.88,73.0%,-271,31.0%,+223,677800,Ryan Weathers,677960,Boston Red Sox
