Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Alex Bregman,4.05,71.9%,-256,30.0%,+233,608324,Robbie Ray,592662,Chicago Cubs
Carson Kelly,3.22,55.2%,-123,14.3%,+601,608348,Robbie Ray,592662,Chicago Cubs
Dansby Swanson,3.35,48.0%,+108,10.4%,+857,621020,Robbie Ray,592662,Chicago Cubs
Ian Happ,3.8,61.3%,-158,19.6%,+411,664023,Robbie Ray,592662,Chicago Cubs
Kevin Alcántara,0.78,7.7%,+1204,-0.1%,N/A,682634,Robbie Ray,592662,Chicago Cubs
Michael Busch,3.61,60.4%,-153,18.6%,+439,683737,Robbie Ray,592662,Chicago Cubs
Michael Conforto,2.13,19.1%,+422,1.1%,+9159,624424,Robbie Ray,592662,Chicago Cubs
Miguel Amaya,2.46,56.9%,-132,13.7%,+632,665804,Robbie Ray,592662,Chicago Cubs
Moisés Ballesteros,2.7,6.0%,+1567,0.1%,+111011,694208,Robbie Ray,592662,Chicago Cubs
Nico Hoerner,4.02,69.7%,-230,27.6%,+263,663538,Robbie Ray,592662,Chicago Cubs
Pedro Ramírez,2.0,30.6%,+227,2.8%,+3484,699393,Robbie Ray,592662,Chicago Cubs
Pete Crow-Armstrong,3.68,53.4%,-115,13.7%,+628,691718,Robbie Ray,592662,Chicago Cubs
Seiya Suzuki,3.69,66.6%,-199,23.9%,+318,673548,Robbie Ray,592662,Chicago Cubs
