Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Andrew Benintendi,3.25,63.2%,-172,20.1%,+398,643217,Jesús Luzardo,666200,Chicago White Sox
Chase Meidroth,3.73,68.0%,-213,25.4%,+294,805367,Jesús Luzardo,666200,Chicago White Sox
Colson Montgomery,3.69,31.1%,+222,3.7%,+2588,695657,Jesús Luzardo,666200,Chicago White Sox
Derek Hill,1.51,24.5%,+309,1.2%,+8447,656537,Jesús Luzardo,666200,Chicago White Sox
Drew Romo,3.05,58.1%,-139,15.9%,+531,691011,Jesús Luzardo,666200,Chicago White Sox
Edgar Quero,2.7,31.7%,+215,3.7%,+2588,700337,Jesús Luzardo,666200,Chicago White Sox
Jacob Gonzalez,3.5,31.1%,+222,3.3%,+2894,694378,Jesús Luzardo,666200,Chicago White Sox
Luisangel Acuña,2.38,59.7%,-148,15.1%,+562,682668,Jesús Luzardo,666200,Chicago White Sox
Miguel Vargas,3.59,78.8%,-371,37.0%,+170,678246,Jesús Luzardo,666200,Chicago White Sox
Randal Grichuk,2.03,57.5%,-135,12.2%,+716,545341,Jesús Luzardo,666200,Chicago White Sox
Rikuu Nishida,2.67,19.7%,+407,1.3%,+7476,807747,Jesús Luzardo,666200,Chicago White Sox
Sam Antonacci,3.36,44.6%,+124,8.5%,+1083,803011,Jesús Luzardo,666200,Chicago White Sox
Tristan Peters,2.58,11.4%,+777,0.4%,+24900,671976,Jesús Luzardo,666200,Chicago White Sox
