Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Colt Keith,2.95,57.5%,-135,15.3%,+553,690993,Bryan Woo,693433,Detroit Tigers
Dillon Dingler,3.62,72.5%,-263,29.6%,+237,693307,Bryan Woo,693433,Detroit Tigers
Gleyber Torres,3.68,65.1%,-187,22.6%,+343,650402,Bryan Woo,693433,Detroit Tigers
Jahmai Jones,1.77,13.3%,+652,0.4%,+24290,663330,Bryan Woo,693433,Detroit Tigers
Jake Rogers,2.57,40.3%,+148,6.2%,+1518,668670,Bryan Woo,693433,Detroit Tigers
Kerry Carpenter,2.83,46.8%,+114,9.2%,+988,681481,Bryan Woo,693433,Detroit Tigers
Kevin McGonigle,3.77,67.4%,-206,24.8%,+304,805808,Bryan Woo,693433,Detroit Tigers
Matt Vierling,3.02,41.2%,+142,7.0%,+1318,663837,Bryan Woo,693433,Detroit Tigers
Riley Greene,3.62,71.6%,-253,28.9%,+246,682985,Bryan Woo,693433,Detroit Tigers
Spencer Torkelson,3.32,55.0%,-122,14.4%,+595,679529,Bryan Woo,693433,Detroit Tigers
Wenceel Pérez,3.2,36.5%,+174,5.5%,+1725,672761,Bryan Woo,693433,Detroit Tigers
Zach McKinstry,2.85,35.6%,+181,5.0%,+1912,656716,Bryan Woo,693433,Detroit Tigers
Zack Short,1.61,26.3%,+281,1.5%,+6436,670097,Bryan Woo,693433,Detroit Tigers
