Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Christopher Morel,3.05,43.5%,+130,8.0%,+1145,666624,Drew Rasmussen,656876,Miami Marlins
Connor Norby,3.22,36.5%,+174,5.4%,+1738,681393,Drew Rasmussen,656876,Miami Marlins
Esteury Ruiz,1.62,15.2%,+560,0.5%,+20733,665923,Drew Rasmussen,656876,Miami Marlins
Heriberto Hernández,2.79,29.7%,+236,3.3%,+2967,681715,Drew Rasmussen,656876,Miami Marlins
Jakob Marsee,3.54,51.0%,-104,12.3%,+715,805300,Drew Rasmussen,656876,Miami Marlins
Javier Sanoja,2.78,41.9%,+139,7.0%,+1322,691594,Drew Rasmussen,656876,Miami Marlins
Joe Mack,3.04,62.9%,-169,19.3%,+417,691788,Drew Rasmussen,656876,Miami Marlins
Kyle Stowers,3.73,65.4%,-189,22.9%,+336,669065,Drew Rasmussen,656876,Miami Marlins
Leo Jiménez,2.55,58.0%,-138,14.6%,+587,677870,Drew Rasmussen,656876,Miami Marlins
Liam Hicks,3.3,65.6%,-191,22.2%,+350,689414,Drew Rasmussen,656876,Miami Marlins
Otto Lopez,3.94,80.6%,-415,41.1%,+143,672640,Drew Rasmussen,656876,Miami Marlins
Owen Caissie,2.76,48.0%,+108,9.6%,+940,683357,Drew Rasmussen,656876,Miami Marlins
Xavier Edwards,3.73,71.6%,-253,29.1%,+244,669364,Drew Rasmussen,656876,Miami Marlins
