Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Amed Rosario,2.88,60.9%,-156,17.5%,+472,642708,Sonny Gray,543243,New York Yankees
Anthony Volpe,3.33,38.7%,+158,6.3%,+1497,683011,Sonny Gray,543243,New York Yankees
Austin Wells,3.09,51.1%,-105,11.7%,+752,669224,Sonny Gray,543243,New York Yankees
Ben Rice,3.63,81.9%,-453,42.1%,+137,700250,Sonny Gray,543243,New York Yankees
Cody Bellinger,3.61,73.1%,-271,30.4%,+229,641355,Sonny Gray,543243,New York Yankees
J.C. Escarra,2.82,31.3%,+219,3.7%,+2595,641555,Sonny Gray,543243,New York Yankees
Jazz Chisholm Jr.,3.63,63.4%,-174,21.1%,+375,665862,Sonny Gray,543243,New York Yankees
José Caballero,3.27,50.8%,-103,11.8%,+751,676609,Sonny Gray,543243,New York Yankees
Max Schuemann,1.43,28.4%,+252,1.5%,+6749,680474,Sonny Gray,543243,New York Yankees
Paul Goldschmidt,3.32,55.4%,-124,14.5%,+589,502671,Sonny Gray,543243,New York Yankees
Ryan McMahon,2.79,37.1%,+169,5.4%,+1759,641857,Sonny Gray,543243,New York Yankees
Spencer Jones,2.4,28.2%,+255,2.7%,+3617,682987,Sonny Gray,543243,New York Yankees
Trent Grisham,3.3,60.3%,-152,17.9%,+458,663757,Sonny Gray,543243,New York Yankees
