Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Adolis García,3.43,63.2%,-172,20.4%,+391,666969,Anthony Kay,641743,Philadelphia Phillies
Alec Bohm,3.66,48.7%,+105,11.1%,+804,664761,Anthony Kay,641743,Philadelphia Phillies
Brandon Marsh,3.53,46.9%,+113,9.1%,+994,669016,Anthony Kay,641743,Philadelphia Phillies
Bryce Harper,3.48,56.8%,-132,15.8%,+535,547180,Anthony Kay,641743,Philadelphia Phillies
Bryson Stott,3.48,47.8%,+109,10.4%,+860,681082,Anthony Kay,641743,Philadelphia Phillies
Edmundo Sosa,2.73,74.9%,-299,29.5%,+239,624641,Anthony Kay,641743,Philadelphia Phillies
Garrett Stubbs,1.82,2.5%,+3932,0.0%,+999900,596117,Anthony Kay,641743,Philadelphia Phillies
J.T. Realmuto,3.27,57.0%,-132,15.6%,+543,592663,Anthony Kay,641743,Philadelphia Phillies
Justin Crawford,3.16,27.8%,+260,2.8%,+3421,702222,Anthony Kay,641743,Philadelphia Phillies
Kyle Schwarber,3.78,51.0%,-104,12.4%,+707,656941,Anthony Kay,641743,Philadelphia Phillies
Rafael Marchán,2.91,35.2%,+184,4.9%,+1949,665561,Anthony Kay,641743,Philadelphia Phillies
Steward Berroa,1.33,1.4%,+6992,0.0%,N/A,672642,Anthony Kay,641743,Philadelphia Phillies
Trea Turner,4.1,65.2%,-187,23.3%,+329,607208,Anthony Kay,641743,Philadelphia Phillies
