Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Brandon Lowe,3.89,73.1%,-271,31.0%,+222,664040,Martín Pérez,527048,Pittsburgh Pirates
Bryan Reynolds,3.52,75.0%,-299,32.3%,+209,668804,Martín Pérez,527048,Pittsburgh Pirates
Endy Rodríguez,2.69,21.3%,+370,1.5%,+6436,682848,Martín Pérez,527048,Pittsburgh Pirates
Henry Davis,2.83,36.9%,+171,5.3%,+1776,680779,Martín Pérez,527048,Pittsburgh Pirates
Jake Mangum,2.57,59.8%,-149,15.8%,+533,663968,Martín Pérez,527048,Pittsburgh Pirates
Jared Triolo,2.9,75.1%,-302,30.3%,+230,669707,Martín Pérez,527048,Pittsburgh Pirates
Jhostynxon Garcia,2.91,49.9%,+100,10.8%,+823,691373,Martín Pérez,527048,Pittsburgh Pirates
Marcell Ozuna,3.7,69.2%,-225,26.2%,+282,542303,Martín Pérez,527048,Pittsburgh Pirates
Nick Gonzales,3.7,73.1%,-272,30.7%,+226,693304,Martín Pérez,527048,Pittsburgh Pirates
Oneil Cruz,4.02,66.8%,-201,24.6%,+306,665833,Martín Pérez,527048,Pittsburgh Pirates
Ryan O'Hearn,3.6,61.1%,-157,18.9%,+429,656811,Martín Pérez,527048,Pittsburgh Pirates
Spencer Horwitz,3.21,56.3%,-129,14.9%,+569,687462,Martín Pérez,527048,Pittsburgh Pirates
Tyler Callihan,1.0,10.9%,+817,-0.0%,N/A,682997,Martín Pérez,527048,Pittsburgh Pirates
