Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Bryce Eldridge,3.18,72.1%,-258,28.2%,+255,805811,Edward Cabrera,665795,San Francisco Giants
Buddy Kennedy,1.33,N/A,N/A,N/A,N/A,671083,Edward Cabrera,665795,San Francisco Giants
Casey Schmitt,3.88,79.2%,-381,38.8%,+158,669477,Edward Cabrera,665795,San Francisco Giants
Daniel Susac,2.75,61.7%,-161,17.7%,+465,691740,Edward Cabrera,665795,San Francisco Giants
Drew Gilbert,2.8,53.8%,-116,12.7%,+688,687551,Edward Cabrera,665795,San Francisco Giants
Eric Haase,2.79,40.4%,+148,6.4%,+1455,606992,Edward Cabrera,665795,San Francisco Giants
Jonah Cox,1.2,16.2%,+518,0.2%,+41567,813841,Edward Cabrera,665795,San Francisco Giants
Jung Hoo Lee,3.78,79.8%,-395,39.5%,+153,808982,Edward Cabrera,665795,San Francisco Giants
Luis Arraez,3.85,70.8%,-242,28.2%,+254,650333,Edward Cabrera,665795,San Francisco Giants
Matt Chapman,3.77,60.2%,-151,18.7%,+436,656305,Edward Cabrera,665795,San Francisco Giants
Rafael Devers,3.86,65.6%,-191,23.3%,+329,646240,Edward Cabrera,665795,San Francisco Giants
Victor Bericoto,1.5,3.4%,+2841,0.0%,+499900,682674,Edward Cabrera,665795,San Francisco Giants
Willy Adames,3.98,68.7%,-220,26.5%,+277,642715,Edward Cabrera,665795,San Francisco Giants
