Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Cole Young,3.49,54.5%,-120,14.2%,+604,702284,Framber Valdez,664285,Seattle Mariners
Colt Emerson,3.19,39.9%,+150,6.6%,+1424,806068,Framber Valdez,664285,Seattle Mariners
Dominic Canzone,2.43,31.8%,+214,3.5%,+2733,686527,Framber Valdez,664285,Seattle Mariners
J.P. Crawford,3.56,52.8%,-112,13.3%,+650,641487,Framber Valdez,664285,Seattle Mariners
Jhonny Pereda,3.08,90.5%,-958,55.2%,-123,640902,Framber Valdez,664285,Seattle Mariners
Josh Naylor,3.93,62.9%,-170,21.0%,+376,647304,Framber Valdez,664285,Seattle Mariners
Julio Rodríguez,4.03,79.7%,-393,39.6%,+152,677594,Framber Valdez,664285,Seattle Mariners
Luke Raley,2.82,36.4%,+174,5.1%,+1853,670042,Framber Valdez,664285,Seattle Mariners
Mitch Garver,2.5,24.1%,+316,2.0%,+5002,641598,Framber Valdez,664285,Seattle Mariners
Patrick Wisdom,2.57,37.2%,+169,5.2%,+1838,621550,Framber Valdez,664285,Seattle Mariners
Randy Arozarena,3.68,68.2%,-214,25.4%,+293,668227,Framber Valdez,664285,Seattle Mariners
Rob Refsnyder,2.08,31.4%,+219,3.0%,+3179,608701,Framber Valdez,664285,Seattle Mariners
Victor Robles,2.17,68.5%,-218,20.5%,+389,645302,Framber Valdez,664285,Seattle Mariners
