Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Ben Williamson,2.82,56.4%,-129,14.3%,+599,810938,Ryan Gusto,687473,Tampa Bay Rays
Cedric Mullins,3.4,50.1%,-100,11.6%,+762,656775,Ryan Gusto,687473,Tampa Bay Rays
Chandler Simpson,3.97,78.5%,-364,38.0%,+164,802415,Ryan Gusto,687473,Tampa Bay Rays
Hunter Feduccia,2.03,50.3%,-101,8.8%,+1033,676439,Ryan Gusto,687473,Tampa Bay Rays
Jonathan Aranda,3.58,88.5%,-773,52.8%,-112,666018,Ryan Gusto,687473,Tampa Bay Rays
Junior Caminero,3.78,80.7%,-418,40.6%,+146,691406,Ryan Gusto,687473,Tampa Bay Rays
Nick Fortes,2.9,45.1%,+122,8.5%,+1078,663743,Ryan Gusto,687473,Tampa Bay Rays
Oliver Dunn,1.38,3.6%,+2686,0.0%,+499900,686554,Ryan Gusto,687473,Tampa Bay Rays
Richie Palacios,2.66,71.3%,-248,25.5%,+293,680700,Ryan Gusto,687473,Tampa Bay Rays
Ryan Vilade,2.37,53.4%,-115,11.4%,+776,668723,Ryan Gusto,687473,Tampa Bay Rays
Taylor Walls,2.95,21.6%,+362,1.6%,+5998,670764,Ryan Gusto,687473,Tampa Bay Rays
Victor Mesa Jr.,3.12,61.7%,-161,18.4%,+442,683748,Ryan Gusto,687473,Tampa Bay Rays
Yandy Díaz,3.82,80.0%,-401,40.0%,+150,650490,Ryan Gusto,687473,Tampa Bay Rays
