Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Andrés Giménez,3.32,39.1%,+156,6.4%,+1458,665926,Brandon Young,687064,Toronto Blue Jays
Brandon Valenzuela,2.7,47.3%,+112,9.2%,+989,678218,Brandon Young,687064,Toronto Blue Jays
Charles McAdoo,3.67,48.5%,+106,10.6%,+841,807727,Brandon Young,687064,Toronto Blue Jays
Daulton Varsho,3.5,72.7%,-266,29.7%,+237,662139,Brandon Young,687064,Toronto Blue Jays
Ernie Clement,3.87,82.6%,-475,44.0%,+128,676391,Brandon Young,687064,Toronto Blue Jays
George Springer,3.93,61.4%,-159,19.8%,+405,543807,Brandon Young,687064,Toronto Blue Jays
Jesús Sánchez,2.92,62.3%,-165,18.6%,+436,660821,Brandon Young,687064,Toronto Blue Jays
Kazuma Okamoto,3.64,80.3%,-408,39.1%,+156,672960,Brandon Young,687064,Toronto Blue Jays
Myles Straw,1.74,47.7%,+110,6.6%,+1413,664702,Brandon Young,687064,Toronto Blue Jays
Nathan Lukes,2.93,61.4%,-159,18.0%,+457,664770,Brandon Young,687064,Toronto Blue Jays
Tyler Heineman,2.45,36.1%,+177,4.7%,+2023,623168,Brandon Young,687064,Toronto Blue Jays
Vladimir Guerrero Jr.,3.61,74.5%,-292,32.1%,+212,665489,Brandon Young,687064,Toronto Blue Jays
Yohendrick Piñango,3.0,65.0%,-185,21.0%,+377,682818,Brandon Young,687064,Toronto Blue Jays
