Hitter Name,abs,Prob 1 hit,1 Hit ML,Prob 2 hits,2 Hit ML,Hitter ID,Pitcher Name,Pitcher ID,Hitter Team
Colt Keith,2.97,48.5%,+106,10.2%,+884,690993,Bryce Miller,682243,Detroit Tigers
Dillon Dingler,3.63,80.7%,-418,39.8%,+152,693307,Bryce Miller,682243,Detroit Tigers
Gleyber Torres,3.69,77.6%,-347,36.2%,+176,650402,Bryce Miller,682243,Detroit Tigers
Jahmai Jones,1.77,11.0%,+806,0.3%,+35614,663330,Bryce Miller,682243,Detroit Tigers
Jake Rogers,2.57,16.1%,+522,0.9%,+11665,668670,Bryce Miller,682243,Detroit Tigers
Kerry Carpenter,2.85,42.0%,+138,7.1%,+1301,681481,Bryce Miller,682243,Detroit Tigers
Kevin McGonigle,3.77,63.9%,-177,21.5%,+365,805808,Bryce Miller,682243,Detroit Tigers
Matt Vierling,2.96,42.3%,+136,7.4%,+1248,663837,Bryce Miller,682243,Detroit Tigers
Riley Greene,3.62,62.2%,-164,19.7%,+408,682985,Bryce Miller,682243,Detroit Tigers
Spencer Torkelson,3.33,52.1%,-109,12.6%,+692,679529,Bryce Miller,682243,Detroit Tigers
Wenceel Pérez,3.2,28.0%,+257,3.0%,+3179,672761,Bryce Miller,682243,Detroit Tigers
Zach McKinstry,2.88,25.7%,+289,2.4%,+3998,656716,Bryce Miller,682243,Detroit Tigers
Zack Short,1.68,15.7%,+537,0.5%,+18419,670097,Bryce Miller,682243,Detroit Tigers
